sample,kx,ky,kz,q,A_proj,force_factor
0,0.426081,0.45779,0.780309,0.776447,53782,95540.9
1,0.180548,-0.346579,-0.920481,0.829299,30756.5,56262.8
2,0.960574,-0.270519,0.0641558,0.703658,82503.5,140558
3,0.884803,-0.459702,-0.0761474,0.719169,81505.1,140121
4,0.544054,0.800263,-0.252158,0.776248,68697.3,122023
5,0.611131,0.103851,0.784687,0.724174,57637.4,99377
6,-0.731084,0.540029,-0.416995,0.445876,77185,111600
7,-0.550418,-0.565097,0.614577,0.495201,62956.6,94132.7
8,-0.542337,-0.200649,0.81585,0.437228,54755.5,78696.2
9,0.69677,0.228759,0.679839,0.725954,67177.9,115946
10,0.716976,-0.332906,0.61247,0.728712,69796.8,120659
11,-0.348916,-0.896831,-0.271941,0.630981,52601.7,85792.4
12,0.333183,-0.582545,-0.741371,0.797998,47186,84840.3
13,-0.0748358,-0.928665,-0.363293,0.884193,32663.6,61544.5
14,-0.642807,0.741176,0.193539,0.493278,74433.2,111149
15,-0.256832,-0.765511,0.589941,0.698398,44802.8,76093
16,0.617571,-0.451866,0.643758,0.7453,65337.5,114034
17,0.631376,-0.400919,0.663799,0.740725,65288.5,113649
18,-0.173982,-0.259921,0.949827,0.719897,28495.5,49009.3
19,0.624186,0.47015,0.623979,0.750774,68281.3,119545
20,-0.61805,0.585191,-0.524943,0.488195,70580.5,105038
21,-0.91308,0.0866284,0.398472,0.327785,77752.5,103239
22,-0.634557,-0.754048,-0.169556,0.47604,70521.9,104093
23,-0.799788,-0.302346,0.51858,0.382635,75005.5,103705
24,0.788523,-0.478049,0.386911,0.730366,77145,133489
25,0.161712,-0.264343,-0.950774,0.830993,27442.5,50247.1
26,-0.293318,0.927038,-0.23359,0.693319,52882.9,89547.5
27,-0.146187,0.0604908,-0.987406,0.728883,21670.8,37466.3
28,-0.624874,0.618931,0.475875,0.490469,71786.6,106996
29,0.996021,0.0880913,-0.0135011,0.692204,80576,136351
30,-0.495971,0.709144,-0.501126,0.553656,64516.9,100237
31,0.745385,-0.303825,0.593373,0.724612,71109.1,122636
32,-0.0550809,-0.598862,-0.798956,0.895058,26386.9,50004.6
33,-0.0830137,-0.291787,0.952874,0.844215,22191,40924.9
34,0.385239,-0.187685,0.903529,0.756879,42684.7,74991.8
35,-0.517102,0.836796,-0.179938,0.551528,67290.5,104403
36,-0.427419,0.726385,0.538217,0.591509,60047.2,95565.7
37,0.442668,-0.327785,-0.834627,0.758167,50026.8,87955.5
38,-0.166132,-0.801346,0.57467,0.788616,38462.6,68794.8
39,0.00556954,-0.99369,-0.11202,0.923094,26750.9,51444.5
40,-0.608002,0.728427,0.315797,0.507186,72371.5,109077
41,-0.571928,-0.783375,-0.243354,0.503731,66977.6,100716
42,0.404124,0.216447,-0.888726,0.757855,45613.1,80181.2
43,0.196074,-0.543491,-0.816194,0.837397,36111.9,66351.8
44,0.0793862,0.487717,-0.869385,0.891654,28233.4,53407.8
45,-0.303422,-0.651068,-0.695734,0.647885,46348.1,76376.4
46,-0.0306692,0.662897,-0.748082,0.915109,28677.4,54920.4
47,0.76588,0.630901,-0.124065,0.743305,79850.3,139203
48,-0.549317,0.748804,-0.370868,0.533002,68794.3,105462
49,0.693506,0.496253,0.522286,0.74539,73603.9,128468
50,-0.232467,0.448695,0.862921,0.69674,39191.2,66497.3
51,-0.128174,0.980837,-0.146729,0.840885,40793.8,75096.7
