plane,angle_deg,kx,ky,kz,q,A_proj,force_factor
XY,0,1,0,0,0.685767,78124.4,131700
XZ,0,1,0,0,0.685767,78124.4,131700
YZ,0,0,1,0,0.924324,30059.5,57844.2
XY,0.5,0.999962,0.00872654,0,0.686736,78383.7,132213
XZ,0.5,0.999962,0,0.00872654,0.686046,78196.7,131843
YZ,0.5,0,0.999962,0.00872654,0.924452,30133.6,57990.7
XY,1,0.999848,0.0174524,0,0.687551,78637.1,132704
XZ,1,0.999848,0,0.0174524,0.686281,78263.1,131974
YZ,1,0,0.999848,0.0174524,0.924468,30205.5,58129.5
XY,1.5,0.999657,0.0261769,0,0.688243,78884.5,133176
XZ,1.5,0.999657,0,0.0261769,0.686483,78323.5,132091
YZ,1.5,0,0.999657,0.0261769,0.924397,30275.1,58261.2
XY,2,0.999391,0.0348995,0,0.688846,79125.9,133631
XZ,2,0.999391,0,0.0348995,0.686659,78378,132197
YZ,2,0,0.999391,0.0348995,0.924262,30342.3,58386.6
XY,2.5,0.999048,0.0436194,0,0.689386,79361.2,134072
XZ,2.5,0.999048,0,0.0436194,0.686818,78426.5,132291
YZ,2.5,0,0.999048,0.0436194,0.924083,30407.3,58506.1
XY,3,0.99863,0.052336,0,0.689886,79590.5,134499
XZ,3,0.99863,0,0.052336,0.686966,78469,132374
YZ,3,0,0.99863,0.052336,0.923877,30469.9,58620.4
XY,3.5,0.998135,0.0610485,0,0.690362,79813.8,134914
XZ,3.5,0.998135,0,0.0610485,0.687108,78505.5,132447
YZ,3.5,0,0.998135,0.0610485,0.923657,30530.2,58729.7
XY,4,0.997564,0.0697565,0,0.690829,80030.9,135319
XZ,4,0.997564,0,0.0697565,0.687248,78536.1,132510
YZ,4,0,0.997564,0.0697565,0.923432,30588.2,58834.3
XY,4.5,0.996917,0.0784591,0,0.691295,80242,135713
XZ,4.5,0.996917,0,0.0784591,0.687388,78560.6,132562
YZ,4.5,0,0.996917,0.0784591,0.923209,30643.9,58934.6
XY,5,0.996195,0.0871557,0,0.691767,80447,136098
XZ,5,0.996195,0,0.0871557,0.68753,78579.2,132605
YZ,5,0,0.996195,0.0871557,0.922993,30697.2,59030.5
XY,5.5,0.995396,0.0958458,0,0.69225,80645.8,136473
XZ,5.5,0.995396,0,0.0958458,0.687677,78591.8,132638
YZ,5.5,0,0.995396,0.0958458,0.922788,30748.2,59122.3
XY,6,0.994522,0.104528,0,0.692747,80838.5,136839
XZ,6,0.994522,0,0.104528,0.687828,78598.5,132661
YZ,6,0,0.994522,0.104528,0.922596,30796.8,59209.9
XY,6.5,0.993572,0.113203,0,0.69326,81025,137196
XZ,6.5,0.993572,0,0.113203,0.687984,78599.1,132674
YZ,6.5,0,0.993572,0.113203,0.922418,30843.1,59293.4
XY,7,0.992546,0.121869,0,0.693789,81205.4,137545
XZ,7,0.992546,0,0.121869,0.688146,78593.8,132678
YZ,7,0,0.992546,0.121869,0.922255,30887.1,59372.9
XY,7.5,0.991445,0.130526,0,0.694335,81379.6,137884
XZ,7.5,0.991445,0,0.130526,0.688314,78582.4,132672
YZ,7.5,0,0.991445,0.130526,0.922107,30928.7,59448.2
XY,8,0.990268,0.139173,0,0.694898,81547.6,138215
XZ,8,0.990268,0,0.139173,0.688487,78565.1,132656
YZ,8,0,0.990268,0.139173,0.921973,30967.9,59519.5
XY,8.5,0.989016,0.147809,0,0.695477,81709.3,138536
XZ,8.5,0.989016,0,0.147809,0.688666,78541.8,132631
YZ,8.5,0,0.989016,0.147809,0.921853,31004.8,59586.7
XY,9,0.987688,0.156434,0,0.696071,81864.9,138849
XZ,9,0.987688,0,0.156434,0.688851,78512.5,132596
YZ,9,0,0.987688,0.156434,0.921747,31039.3,59649.8
XY,9.5,0.986286,0.165048,0,0.69668,82014.2,139152
XZ,9.5,0.986286,0,0.165048,0.68904,78477.3,132551
YZ,9.5,0,0.986286,0.165048,0.921653,31071.5,59708.7
XY,10,0.984808,0.173648,0,0.697302,82157.3,139446
XZ,10,0.984808,0,0.173648,0.689235,78436,132497
YZ,10,0,0.984808,0.173648,0.921572,31101.3,59763.4
XY,10.5,0.983255,0.182236,0,0.697938,82294.1,139730
XZ,10.5,0.983255,0,0.182236,0.689434,78388.8,132433
YZ,10.5,0,0.983255,0.182236,0.921502,31128.7,59813.9
XY,11,0.981627,0.190809,0,0.698585,82424.7,140005
XZ,11,0.981627,0,0.190809,0.689638,78335.6,132359
YZ,11,0,0.981627,0.190809,0.921442,31153.8,59860.2
XY,11.5,0.979925,0.199368,0,0.699243,82548.9,140271
XZ,11.5,0.979925,0,0.199368,0.689845,78276.5,132275
YZ,11.5,0,0.979925,0.199368,0.921392,31176.5,59902.2
XY,12,0.978148,0.207912,0,0.69991,82666.9,140526
XZ,12,0.978148,0,0.207912,0.690057,78211.4,132182
YZ,12,0,0.978148,0.207912,0.921351,31196.8,59940
XY,12.5,0.976296,0.21644,0,0.700587,82778.6,140772
XZ,12.5,0.976296,0,0.21644,0.690272,78140.3,132078
YZ,12.5,0,0.976296,0.21644,0.921318,31214.7,59973.4
XY,13,0.97437,0.224951,0,0.701273,82884,141008
XZ,13,0.97437,0,0.224951,0.690491,78063.3,131965
YZ,13,0,0.97437,0.224951,0.921292,31230.3,60002.5
XY,13.5,0.97237,0.233445,0,0.701966,82983.1,141234
XZ,13.5,0.97237,0,0.233445,0.690713,77980.4,131842
YZ,13.5,0,0.97237,0.233445,0.921273,31243.5,60027.2
XY,14,0.970296,0.241922,0,0.702665,83075.8,141450
XZ,14,0.970296,0,0.241922,0.690938,77891.5,131710
YZ,14,0,0.970296,0.241922,0.921261,31254.3,60047.6
XY,14.5,0.968148,0.25038,0,0.703371,83162.2,141656
XZ,14.5,0.968148,0,0.25038,0.691166,77796.6,131567
YZ,14.5,0,0.968148,0.25038,0.921253,31262.7,60063.5
XY,15,0.965926,0.258819,0,0.704083,83242.3,141852
XZ,15,0.965926,0,0.258819,0.691397,77695.9,131415
YZ,15,0,0.965926,0.258819,0.921251,31268.7,60075.1
XY,15.5,0.96363,0.267238,0,0.7048,83316.1,142037
XZ,15.5,0.96363,0,0.267238,0.69163,77589.2,131252
YZ,15.5,0,0.96363,0.267238,0.921254,31272.4,60082.2
XY,16,0.961262,0.275637,0,0.705521,83383.5,142212
XZ,16,0.961262,0,0.275637,0.691866,77476.6,131080
YZ,16,0,0.961262,0.275637,0.92126,31273.6,60084.8
XY,16.5,0.95882,0.284015,0,0.706246,83444.6,142377
XZ,16.5,0.95882,0,0.284015,0.692104,77358.1,130898
YZ,16.5,0,0.95882,0.284015,0.92127,31272.5,60083
XY,17,0.956305,0.292372,0,0.706976,83499.3,142531
XZ,17,0.956305,0,0.292372,0.692344,77233.8,130706
YZ,17,0,0.956305,0.292372,0.921283,31269.1,60076.7
XY,17.5,0.953717,0.300706,0,0.707709,83547.6,142675
XZ,17.5,0.953717,0,0.300706,0.692587,77103.5,130504
YZ,17.5,0,0.953717,0.300706,0.921299,31263.2,60065.9
XY,18,0.951057,0.309017,0,0.708445,83589.6,142808
XZ,18,0.951057,0,0.309017,0.692831,76967.4,130293
YZ,18,0,0.951057,0.309017,0.921317,31254.9,60050.6
XY,18.5,0.948324,0.317305,0,0.709183,83625.2,142931
XZ,18.5,0.948324,0,0.317305,0.693077,76825.4,130071
YZ,18.5,0,0.948324,0.317305,0.921338,31244.3,60030.9
XY,19,0.945519,0.325568,0,0.709924,83654.5,143043
XZ,19,0.945519,0,0.325568,0.693325,76677.6,129840
YZ,19,0,0.945519,0.325568,0.92136,31231.3,60006.6
XY,19.5,0.942641,0.333807,0,0.710668,83677.4,143144
XZ,19.5,0.942641,0,0.333807,0.693575,76523.9,129599
YZ,19.5,0,0.942641,0.333807,0.921384,31215.9,59977.7
XY,20,0.939693,0.34202,0,0.711414,83693.9,143235
XZ,20,0.939693,0,0.34202,0.693827,76364.4,129348
YZ,20,0,0.939693,0.34202,0.921408,31198.1,59944.4
XY,20.5,0.936672,0.350207,0,0.712161,83704,143315
XZ,20.5,0.936672,0,0.350207,0.694081,76199.1,129087
YZ,20.5,0,0.936672,0.350207,0.921434,31178,59906.5
XY,21,0.93358,0.358368,0,0.712911,83707.8,143384
XZ,21,0.93358,0,0.358368,0.694336,76028,128817
YZ,21,0,0.93358,0.358368,0.921461,31155.5,59864.1
XY,21.5,0.930418,0.366501,0,0.713662,83705.1,143442
XZ,21.5,0.930418,0,0.366501,0.694593,75851.1,128537
YZ,21.5,0,0.930418,0.366501,0.921488,31130.6,59817.1
XY,22,0.927184,0.374607,0,0.714415,83696.2,143490
XZ,22,0.927184,0,0.374607,0.694851,75668.4,128247
YZ,22,0,0.927184,0.374607,0.921515,31103.3,59765.6
XY,22.5,0.92388,0.382683,0,0.715169,83680.8,143527
XZ,22.5,0.92388,0,0.382683,0.695111,75479.9,127947
YZ,22.5,0,0.92388,0.382683,0.921543,31073.7,59709.5
XY,23,0.920505,0.390731,0,0.715924,83659.1,143553
XZ,23,0.920505,0,0.390731,0.695373,75285.7,127637
YZ,23,0,0.920505,0.390731,0.92157,31041.7,59648.9
XY,23.5,0.91706,0.398749,0,0.716681,83631,143568
XZ,23.5,0.91706,0,0.398749,0.695636,75085.8,127318
YZ,23.5,0,0.91706,0.398749,0.921597,31007.4,59583.7
XY,24,0.913545,0.406737,0,0.717439,83596.5,143572
XZ,24,0.913545,0,0.406737,0.695901,74880.2,126989
YZ,24,0,0.913545,0.406737,0.921624,30970.7,59513.9
XY,24.5,0.909961,0.414693,0,0.718198,83555.6,143565
XZ,24.5,0.909961,0,0.414693,0.696168,74668.8,126651
YZ,24.5,0,0.909961,0.414693,0.92165,30931.6,59439.7
XY,25,0.906308,0.422618,0,0.718958,83508.4,143548
XZ,25,0.906308,0,0.422618,0.696436,74451.8,126303
YZ,25,0,0.906308,0.422618,0.921675,30890.1,59360.8
XY,25.5,0.902585,0.430511,0,0.71972,83454.9,143519
XZ,25.5,0.902585,0,0.430511,0.696706,74229.1,125945
YZ,25.5,0,0.902585,0.430511,0.921699,30846.4,59277.4
XY,26,0.898794,0.438371,0,0.720483,83394.9,143480
XZ,26,0.898794,0,0.438371,0.696978,74000.7,125578
YZ,26,0,0.898794,0.438371,0.921722,30800.2,59189.5
XY,26.5,0.894934,0.446198,0,0.721247,83328.7,143429
XZ,26.5,0.894934,0,0.446198,0.697251,73766.7,125201
YZ,26.5,0,0.894934,0.446198,0.921744,30751.7,59097
XY,27,0.891007,0.45399,0,0.722012,83256.1,143368
XZ,27,0.891007,0,0.45399,0.697527,73527.1,124814
YZ,27,0,0.891007,0.45399,0.921765,30700.9,59000
XY,27.5,0.887011,0.461749,0,0.722778,83177.1,143296
XZ,27.5,0.887011,0,0.461749,0.697804,73281.9,124418
YZ,27.5,0,0.887011,0.461749,0.921784,30647.8,58898.4
XY,28,0.882948,0.469472,0,0.723546,83091.8,143213
XZ,28,0.882948,0,0.469472,0.698082,73031.1,124013
YZ,28,0,0.882948,0.469472,0.921802,30592.3,58792.3
XY,28.5,0.878817,0.477159,0,0.724315,83000.2,143118
XZ,28.5,0.878817,0,0.477159,0.698363,72774.7,123598
YZ,28.5,0,0.878817,0.477159,0.921818,30534.5,58681.7
XY,29,0.87462,0.48481,0,0.725086,82902.3,143013
XZ,29,0.87462,0,0.48481,0.698646,72512.8,123174
YZ,29,0,0.87462,0.48481,0.921832,30474.3,58566.5
XY,29.5,0.870356,0.492424,0,0.725858,82798,142898
XZ,29.5,0.870356,0,0.492424,0.698931,72245.4,122740
YZ,29.5,0,0.870356,0.492424,0.921844,30411.8,58446.8
XY,30,0.866025,0.5,0,0.726631,82687.4,142771
XZ,30,0.866025,0,0.5,0.699218,71972.5,122297
YZ,30,0,0.866025,0.5,0.921855,30347.1,58322.6
